Title,Abstract,Keywords,Domain,Domain other,Database,How many learners are used?,Where are traits of individuals included?,Is training performed online or in batch?,Is training performed on a simulator?,Is training performed on static real life data?,"Is training performed live, in a real-life setting?",Is an evaluation performed on a simulator?,Is an evaluation performed on static real life data?,Is a live evaluation performed in a real life setting?,Is a comparison with 'no personalization' performed?,Is there a comparison between RL/CB and other personalization techniques?,Is suitability of actions explicitly defined by users?,Is suitability of actions implicitly derived from observations on user behavior?,Is safety mentioned as a concern in the application?,Are models of user responses to system behavior available?,Are data on human responses to system behavior available?,Can new interactions with users be sampled with ease?,Is privacy mentioned as a concern in the application?,Can all information to base personalization on be measured directly?,algorithms,Source Title,Authors,Authors with affiliations,Citation Count,DOI,Type,Year,Bibtex_key,Bibtex
Interactive learning and adaptation for robot assisted therapy for people with dementia,"In this paper, we present an adaptive cognitive music game designed to monitor and improve the attention levels of peo- ple with dementia. The goal of this game is to provide a customized protocol based on user needs and preferences, following the Reinforcement Learning (RL) framework. The game adjusts its parameters (e.g., diffculty level) so as to help the user complete the task successfully, while keeping them engaged. The main contribution of this paper is an interactive learning and adaptation framework that enables and facilitates the adaptation of the robot behavior towards new users, providing a safe, tailored and effcient interac- tion. Copyright 2016 is held by the owner/author(s).",Interactive Reinforcement Learning; Music Therapy; Policy Adaptation; Robot Assisted Therapy; Robot Learning and Behavior Adaptation,Health,,SCOPUS,1,state representation,unknown,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,Interactive Reinforcement Learning,ACM International Conference Proceeding Series,"Tsiakas K., Abellanoza C., Makedon F.","Tsiakas, K., CSE Department, HERACLEIA Lab, University of Texas at Arlington, United States; Abellanoza, C., Department of Psychology, Cognitive Neuroscience of Memory Lab, University of Texas at Arlington, United States; Makedon, F., CSE Department, HERACLEIA Lab, University of Texas at Arlington, United States",,10.1145/2910674.2935849,Conference Paper,2016-01-01,Tsiakas_2016," @article{Tsiakas_2016, title={Interactive Learning and Adaptation for Robot Assisted Therapy for People with Dementia}, ISBN={9781450343374}, url={http://dx.doi.org/10.1145/2910674.2935849}, DOI={10.1145/2910674.2935849}, journal={Proceedings of the 9th ACM International Conference on PErvasive Technologies Related to Assistive Environments - PETRA  ’16}, publisher={ACM Press}, author={Tsiakas, Konstantinos and Abellanoza, Cheryl and Makedon, Fillia}, year={2016}}
"
Towards learning reward functions from user interactions,"In the physical world, people have dynamic preferences, e.g., the same situation can lead to satisfaction for some humans and to frustration for others. Personalization is called for. The same observation holds for online behavior with interactive systems. It is natural to represent the behavior of users who are engaging with interactive systems such as a search engine or a recommender system, as a sequence of actions where each next action depends on the current situation and the user reward of taking a particular action. By and large, current online evaluation metrics for interactive systems such as search engines or recommender systems, are static and do not reflect differences in user behavior. They rarely capture or model the reward experienced by a user while interacting with an interactive system.We argue that knowing a user's reward function is essential for an interactive system as both for learning and evaluation. We propose to learn users' reward functions directly from observed interaction traces. In particular, we present how users' reward functions can be uncovered directly using inverse reinforcement learning techniques. We also show how to incorporate user features into the learning process. Our main contribution is a novel and dynamic approach to restore a user's reward function. We present an analytic approach to this problem and complement it with initial experiments using the interaction logs of a cultural heritage institution that demonstrate the feasibility of the approach by uncovering different reward functions for different user groups. © 2017 Copyright held by the owner/author(s).",Interactive systems; Inverse reinforcement learning; Online evaluation,Commerce,,SCOPUS,1/group,state representation,batch,n,y,n,n,y,n,n,n,n,y,n,n,y,y,n,y,Inverse Reinforcement Learning,ICTIR 2017 - Proceedings of the 2017 ACM SIGIR International Conference on the Theory of Information Retrieval,"Li Z., Kiseleva J., De Rijke M., Grotov A.","Li, Z., University of Amsterdam, Amsterdam, Netherlands; Kiseleva, J., UserSat.com, University of Amsterdam, Amsterdam, Netherlands; De Rijke, M., University of Amsterdam, Amsterdam, Netherlands; Grotov, A., University of Amsterdam, Amsterdam, Netherlands",,10.1145/3121050.3121098,Conference Paper,2017-01-01,Li_2017," @article{Li_2017, title={Towards Learning Reward Functions from User Interactions}, ISBN={9781450344906}, url={http://dx.doi.org/10.1145/3121050.3121098}, DOI={10.1145/3121050.3121098}, journal={Proceedings of the ACM SIGIR International Conference on Theory of Information Retrieval  - ICTIR  ’17}, publisher={ACM Press}, author={Li, Ziming and Kiseleva, Julia and de Rijke, Maarten and Grotov, Artem}, year={2017}}
"
Making better recommendations with online profiling agents,"In recent years, we have witnessed the success of autonomous agents applying machine learning techniques across a wide range of applications. However, agents applying the same machine learning techniques in online applications have not been so successful. Even agent-based hybrid recommender systems that combine information filtering techniques with collaborative filtering techniques have only been applied with considerable success to simple consumer goods such as movies, books, clothing and food. Complex, adaptive autonomous agent systems that can handle complex goods such as real estate, vacation plans, insurance, mutual funds, and mortgage have yet emerged. To a large extent, the reinforcement learning methods developed to aid agents in learning have been more successfully deployed in offline applications. The inherent limitations in these methods have rendered them somewhat ineffective in online applications. In this paper, we postulate that a small amount of prior knowledge and human-provided input can dramatically speed up online learning. We will demonstrate that our agent HumanE - with its prior knowledge or ""experiences"" about the real estate domain -can effectively assist users in identifying requirements, especially unstated ones, quickly and unobtrusively.",Electronic profiling; Experience; Inference; Intelligent agents; Interactive learning; Personalization; Reinforcement learning; User preferences,Commerce,,y,1,not used,online,n,n,y,n,n,y,n,n,n,y,n,n,n,y,n,n,"RL, not further specified",Proceedings of the National Conference on Artificial Intelligence,"Oh D., Tan C.L.","Oh, D., School of Computing, National University of Singapore, 3 Science Drive 2, Singapore 117543, Singapore; Tan, C.L., School of Computing, National University of Singapore, 3 Science Drive 2, Singapore 117543, Singapore",,,Conference Paper,2004-01-01,Oh2004MakingBR,"@article{Oh2004MakingBR,
  title={Making Better Recommendations with Online Profiling Agents},
  author={Danny Oh and Chew Lim Tan},
  journal={AI Magazine},
  year={2004},
  volume={26},
  pages={29-40}
}"
Reinforcement learning for game personalization on edge devices,"Good progress has been shown recently in the area of active learning, specifically, Reinforcement learning (RL). In this paper, the authors show how RL can be used to personalize games based on user-interaction with the game. The work uses Deep Q network models (DQN) and the open source framework OpenAI to build an RL model that is able to optimize the gamer's engagement level in a game. The authors define an example quantitative measure of gamer engagement and incorporate that into the DQN learning reward function. The gamer experience optimization is empirically demonstrated using a game of Pong. Simulation testing and analysis of results indicate adapted RL models increase engagement reward values, thus enhancing gamer experience. The contribution of this paper is twofold: (1) using RL, it paves the path for wider adaptation to user-behavior, starting with gaming, and (2) it shows analysis and feasibility of an RL algorithm on an edge device (Personal Computer) in real-time.",artificial intelligence;computer games;edge computing;game personalization;reinforcement learning,Entertainment,,y,1,not used,online,y,n,n,y,n,n,n,n,n,y,n,y,n,y,n,y,DQN,2018 International Conference on Information and Computer Technologies (ICICT),A. Bodas; B. Upadhyay; C. Nadiger; S. Abdelhak,,,10.1109/INFOCT.2018.8356853,IEEE Conferences,2018-01-01,Bodas_2018," @article{Bodas_2018, title={Reinforcement learning for game personalization on edge devices}, ISBN={9781538653845}, url={http://dx.doi.org/10.1109/INFOCT.2018.8356853}, DOI={10.1109/infoct.2018.8356853}, journal={2018 International Conference on Information and Computer Technologies (ICICT)}, publisher={IEEE}, author={Bodas, Anand and Upadhyay, Bhargav and Nadiger, Chetan and Abdelhak, Sherine}, year={2018}, month={Mar}}
"
MPRL: Multiple-Periodic Reinforcement Learning for difficulty adjustment in rehabilitation games,"Generally, the difficulty level of a therapeutic game is regulated manually by a therapist. However, home-based rehabilitation games require a technique for automatic difficulty adjustment. This paper proposes a personalized difficulty adjustment technique for a rehabilitation game that automatically regulates difficulty settings based on a patient's skills in real-time. To this end, ideas from reinforcement learning are used to dynamically adjust the difficulty of a game. We show that difficulty adjustment is a multiple-objective problem, in which some objectives might be evaluated at different periods. To address this problem, we propose and use Multiple-Periodic Reinforcement Learning (MPRL) that makes it possible to evaluate different objectives of difficulty adjustment in separate periods. The results of experiments show that MPRL outperforms traditional Multiple-Objective Reinforcement Learning (MORL) in terms of user satisfaction parameters as well as improving the movement skills of patients.",,Health,,IEEE Explore,1,not used,online,n,n,y,n,n,y,n,y,n,y,n,n,y,n,n,y,Multiple-Periodic Reinforcement Learning,2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH),Y. A. Sekhavat,,,10.1109/SeGAH.2017.7939260,IEEE Conferences,2017-01-01,Sekhavat_2017," @article{Sekhavat_2017, title={MPRL: Multiple-Periodic Reinforcement Learning for difficulty adjustment in rehabilitation games}, ISBN={9781509054824}, url={http://dx.doi.org/10.1109/SeGAH.2017.7939260}, DOI={10.1109/segah.2017.7939260}, journal={2017 IEEE 5th International Conference on Serious Games and Applications for Health (SeGAH)}, publisher={IEEE}, author={Sekhavat, Yoones A.}, year={2017}, month={Apr}}
"
Agent-based assistance in ambient assisted living through reinforcement learning and semantic technologies: (Short paper),"For impaired people, the conduction of certain daily life activities is problematic due to motoric and cognitive handicaps. For that reason, assistive agents in ambient assisted environments provide services that aim at supporting elderly and impaired people. However, these agents act in complex stochastic and indeterministic environments where the concrete effects of a performed action are usually unknown at design time. Furthermore, they have to perform varying tasks according to the user’s context and needs, wherefore an agent has to be flexible and able to recognize required capabilities in a certain situation in order to provide adequate, unobtrusive assistance. Hence, an expressive representation framework is required that relates user-specific impairments to required agent capabilities. This work presents an approach which (a) describes and links user impairments and capabilities using the formal, model-theoretic semantics expressed in OWL2 DL ontologies, (b) computes optimal policies through Reinforcement Learning and propagates these in an agent network. The presented approach improves the collaborative, personalized and adequate assistance of assistive agents and tailors the agent-based services to the user’s missing capabilities. © 2017, Springer International Publishing AG.",,Health,,y,1,not used,online,n,n,y,n,n,y,n,n,n,y,y,n,n,n,n,y,Q-Learning,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"Merkle N., Zander S.","Merkle, N., FZI Forschungszentrum Informatik am KIT, Information Process Engineering, Haid-und-Neu-Str. 10-14, Karlsruhe, Germany; Zander, S., Institute for Computer Science, University of Applied Sciences Darmstadt, Schöfferstrasse 8B, Darmstadt, Germany",,10.1007/978-3-319-69459-7_12,Conference Paper,2017-01-01,Merkle_2017," @article{Merkle_2017, title={Agent-Based Assistance in Ambient Assisted Living Through Reinforcement Learning and Semantic Technologies}, ISBN={9783319694597}, ISSN={1611-3349}, url={http://dx.doi.org/10.1007/978-3-319-69459-7_12}, DOI={10.1007/978-3-319-69459-7_12}, journal={Lecture Notes in Computer Science}, publisher={Springer International Publishing}, author={Merkle, Nicole and Zander, Stefan}, year={2017}, pages={180–188}}
"
Personalizing a Service Robot by Learning Human Habits from Behavioral Footprints,"For a domestic personal robot, personalized services are as important as predesigned tasks, because the robot needs to adjust the home state based on the operator's habits. An operator's habits are composed of cues, behaviors, and rewards. This article introduces behavioral footprints to describe the operator's behaviors in a house, and applies the inverse reinforcement learning technique to extract the operator's habits, represented by a reward function. We implemented the proposed approach with a mobile robot on indoor temperature adjustment, and compared this approach with a baseline method that recorded all the cues and behaviors of the operator. The result shows that the proposed approach allows the robot to reveal the operator's habits accurately and adjust the environment state accordingly. © 2015 THE AUTHORS. Published by Elsevier LTD on behalf of Chinese Academy of Engineering and Higher Education Press Limited Company",behavioral footprints; habit learning; personalized robot,Health,,SCOPUS,1/person,state representation,online,y,n,y,y,n,y,y,y,n,y,y,n,n,n,n,y,"Inverse Reinforcement Learning,baseline methods",Engineering,"Li K., Meng M.Q.-H.","Li, K., California Institute of Technology, Pasadena, CA, United States; Meng, M.Q.-H., The Chinese University of Hong Kong, Hong Kong, China",,10.15302/J-ENG-2015024,Article,2015-01-01,Li_2015," @article{Li_2015, title={Personalizing a Service Robot by Learning Human Habits from Behavioral Footprints}, volume={1}, ISSN={2095-8099}, url={http://dx.doi.org/10.15302/J-ENG-2015024}, DOI={10.15302/j-eng-2015024}, number={1}, journal={Engineering}, publisher={Elsevier BV}, author={Li, Kun and Meng, Max Q.-H.}, year={2015}, month={Mar}, pages={079–084}}
"
Learning social relations for culture aware interaction,"Each person has their private physical and/or psychological area where they do not want to share with others during social interactions. This area gives them comfort about interactions and its size usually depends on various factors such as culture, personal traits, and acquaintanceship. This issue may also arise in case of human-robot interaction, especially when the robot is required to generate a socially competent interaction strategy toward people they are interacting with. Here, we propose a new robot exploration strategy to socially interact with people by considering the social relationship between the robot and each person. To that end, two definitions of interaction area are made: (1) Acceptable area allowed to be shared with other people and robots, and (2) Private area where a human does not want to be interfered by others. Based on these definitions, the robot can optimize the path to maximize the frequency/degree of visiting the acceptable area of each person and to minimize the frequency/degree of trespassing into the private area of them at the same time in an iterative way. In this paper, the social force model (SFM) of each person, based on the potential field concept, is designed by a fuzzy inference system and its parameter is optimized by the reinforcement learning model during interactions. We have shown that the proposed model can generate a suitable SFM of each person, which was quite similar to a ground truth model, allowing to plan a path to simultaneously optimize the two factors of interaction area, respectively.",,Domain Independent,,IEEE Xplore,1/person,state representation,online,y,n,n,y,n,n,n,n,n,n,y,n,y,y,n,n,R-Learning,2017 14th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI),P. Patompak; S. Jeong; I. Nilkhamhang; N. Y. Chong,,,10.1109/URAI.2017.7992879,IEEE Conferences,2017-01-01,Patompak_2017," @article{Patompak_2017, title={Learning social relations for culture aware interaction}, ISBN={9781509030569}, url={http://dx.doi.org/10.1109/URAI.2017.7992879}, DOI={10.1109/urai.2017.7992879}, journal={2017 14th International Conference on Ubiquitous Robots and Ambient Intelligence (URAI)}, publisher={IEEE}, author={Patompak, Pakpoom and Jeong, Sungmoon and Nilkhamhang, Itthisek and Chong, Nak Young}, year={2017}, month={Jun}}
"
Personalizing mobile fitness apps using reinforcement learning,"Despite the vast number of mobile fitness applications (apps) and their potential advantages in promoting physical activity, many existing apps lack behavior-change features and are not able to maintain behavior change motivation. This paper describes a novel fitness app called CalFit, which implements important behavior-change features like dynamic goal setting and self-monitoring. CalFit uses a reinforcement learning algorithm to generate personalized daily step goals that are challenging but attainable. We conducted the Mobile Student Activity Reinforcement (mSTAR) study with 13 college students to evaluate the efficacy of the CalFit app. The control group (receiving goals of 10,000 steps/day) had a decrease in daily step count of 1,520 (SD ± 740) between baseline and 10-weeks, compared to an increase of 700 (SD ± 830) in the intervention group (receiving personalized step goals). The difference in daily steps between the two groups was 2,220, with a statistically significant p = 0:039. © 2018 Copyright for the individual papers remains with the authors.",Fitness app; Goal setting; Interface design; Mobile app; Personalization; Physical activity,Health,,SCOPUS,1,not used,online,n,n,y,n,n,y,y,n,n,y,n,n,y,y,n,y,Inverse Reinforcement Learning,CEUR Workshop Proceedings,"Zhou M., Mintz Y., Fukuoka Y., Goldberg K., Flowers E., Kaminsky P., Castillejo A., Aswani A.","Zhou, M., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Mintz, Y., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Fukuoka, Y., Department of Physiological, Nursing Institute for Health and Aging, School of Nursing, University of California, San Francisco, CA, United States; Goldberg, K., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Flowers, E., Department of Physiological Nursing, School of Nursing, University of California, San Francisco, CA, United States; Kaminsky, P., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Castillejo, A., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States; Aswani, A., Department of Industrial Engineering and Operations Research, University of California, Berkeley, CA, United States",,,Conference Paper,2018-01-01,Zhou2018PersonalizingMF,"@inproceedings{Zhou2018PersonalizingMF,
  title={Personalizing Mobile Fitness Apps using Reinforcement Learning},
  author={Mo Zhou and Yonatan Dov Mintz and Yoshimi Fukuoka and Kenneth Y. Goldberg and Elena Flowers and Philip Kaminsky and Alejandro Castillejo and Anil Aswani},
  booktitle={IUI Workshops},
  year={2018}
}"
Interactive narrative personalization with deep reinforcement learning,"Data-driven techniques for interactive narrative generation are the subject of growing interest. Reinforcement learning (RL) offers significant potential for devising data-driven interactive narrative generators that tailor players' story experiences by inducing policies from player interaction logs. A key open question in RL-based interactive narrative generation is how to model complex player interaction patterns to learn effective policies. In this paper we present a deep RL-based interactive narrative generation framework that leverages synthetic data produced by a bipartite simulated player model. Specifically, the framework involves training a set of Q-networks to control adaptable narrative event sequences with long short-term memory network-based simulated players. We investigate the deep RL framework's performance with an educational interactive narrative, Crystal Island. Results suggest that the deep RL-based narrative generation framework yields effective personalized interactive narratives.",,Education,,SCOPUS,1,state representation,batch,y,n,n,y,n,n,n,n,n,y,n,n,y,y,n,n,"DQN,DDQN,Q-Learning,Async QN,Async DQN",IJCAI International Joint Conference on Artificial Intelligence,"Wang P., Rowe J., Min W., Mott B., Lester J.","Wang, P., Department of Computer Science, North Carolina State University, Raleigh, NC, United States; Rowe, J., Department of Computer Science, North Carolina State University, Raleigh, NC, United States; Min, W., Department of Computer Science, North Carolina State University, Raleigh, NC, United States; Mott, B., Department of Computer Science, North Carolina State University, Raleigh, NC, United States; Lester, J., Department of Computer Science, North Carolina State University, Raleigh, NC, United States",,,Conference Paper,2017-01-01,Wang2017InteractiveNP,"@inproceedings{Wang2017InteractiveNP,
  title={Interactive Narrative Personalization with Deep Reinforcement Learning},
  author={Pengcheng Wang and Jonathan P. Rowe and Wookhee Min and Bradford W. Mott and James C. Lester},
  booktitle={IJCAI},
  year={2017}
}"
Multi-task learning for contextual bandits,"Contextual bandits are a form of multi-armed bandit in which the agent has access to predictive side information (known as the context) for each arm at each time step, and have been used to model personalized news recommendation, ad placement, and other applications. In this work, we propose a multi-task learning framework for contextual bandit problems. Like multi-task learning in the batch setting, the goal is to leverage similarities in contexts for different arms so as to improve the agent's ability to predict rewards from contexts. We propose an upper confidence bound-based multi-task learning algorithm for contextual bandits, establish a corresponding regret bound, and interpret this bound to quantify the advantages of learning in the presence of high task (arm) similarity. We also describe an effective scheme for estimating task similarity from data, and demonstrate our algorithm's performance on several data sets. © 2017 Neural information processing systems foundation. All rights reserved.",,Commerce,,SCOPUS,multiple,state representation,batch,n,y,n,n,y,n,y,n,n,n,n,n,n,n,n,y,UCB,Advances in Neural Information Processing Systems,"Deshmukh A.A., Dogan U., Scott C.","Deshmukh, A.A., Department of EECS, University of Michigan, Ann Arbor, Ann Arbor, MI, United States; Dogan, U., Microsoft Research, Cambridge, United Kingdom; Scott, C., Department of EECS, University of Michigan, Ann Arbor, Ann Arbor, MI, United States",,,Conference Paper,2017-01-01,Deshmukh2017MultiTaskLF,"@inproceedings{Deshmukh2017MultiTaskLF,
  title={Multi-Task Learning for Contextual Bandits},
  author={Aniket Anand Deshmukh and {\""U}r{\""u}n Dogan and Clayton Scott},
  booktitle={NIPS},
  year={2017}
}"
Path planning with user route preference - A reward surface approximation approach using orthogonal Legendre polynomials,"As self driving cars become more ubiquitous, users would look for natural ways of informing the car AI about their personal choice of routes. This choice is not always dictated by straightforward logic such as shortest distance or shortest time, and can be influenced by hidden factors, such as comfort and familiarity. This paper presents a path learning algorithm for such applications, where from limited positive demonstrations, an autonomous agent learns the user's path preference and honors that choice in its route planning, but has the capability to adopt alternate routes, if the original choice(s) become impractical. The learning problem is modeled as a Markov decision process. The states (way-points) and actions (to move from one way-point to another) are pre-defined according to the existing network of paths between the origin and destination and the user's demonstration is assumed to be a sample of the preferred path. The underlying reward function which captures the essence of the demonstration is computed using an inverse reinforcement learning algorithm and from that the entire path mirroring the expert's demonstration is extracted. To alleviate the problem of state space explosion when dealing with a large state space, the reward function is approximated using a set of orthogonal polynomial basis functions with a fixed number of coefficients regardless of the size of the state space. A six fold reduction in total learning time is achieved compared to using simple basis functions, that has dimensionality equal to the number of distinct states.",,Transport,,IEEE Xplore,1,not used,online,n,n,y,n,n,y,n,n,n,y,n,n,n,n,n,y,Inverse Reinforcement Learning,2016 IEEE International Conference on Automation Science and Engineering (CASE),A. R. Srinivasan; S. Chakraborty,,,10.1109/COASE.2016.7743527,IEEE Conferences,2016-01-01,Srinivasan_2016," @article{Srinivasan_2016, title={Path planning with user route preference - A reward surface approximation approach using orthogonal Legendre polynomials}, ISBN={9781509024094}, url={http://dx.doi.org/10.1109/COASE.2016.7743527}, DOI={10.1109/coase.2016.7743527}, journal={2016 IEEE International Conference on Automation Science and Engineering (CASE)}, publisher={IEEE}, author={Srinivasan, Aravinda Ramakrishnan and Chakraborty, Subhadeep}, year={2016}, month={Aug}}
"
Model-free machine learning in biomedicine: Feasibility study in type 1 diabetes,"Although reinforcement learning (RL) is suitable for highly uncertain systems, the applicability of this class of algorithms to medical treatment may be limited by the patient variability which dictates individualised tuning for their usually multiple algorithmic parameters. This study explores the feasibility of RL in the framework of artificial pancreas development for type 1 diabetes (T1D). In this approach, an Actor-Critic (AC) learning algorithm is designed and developed for the optimisation of insulin infusion for personalised glucose regulation. AC optimises the daily basal insulin rate and insulin:carbohydrate ratio for each patient, on the basis of his/her measured glucose profile. Automatic, personalised tuning of AC is based on the estimation of information transfer (IT) from insulin to glucose signals. Insulinto-glucose IT is linked to patient-specific characteristics related to total daily insulin needs and insulin sensitivity (SI). The AC algorithm is evaluated using an FDA-accepted T1D simulator on a large patient database under a complex meal protocol, meal uncertainty and diurnal SI variation. The results showed that 95.66% of time was spent in normoglycaemia in the presence of meal uncertainty and 93.02% when meal uncertainty and SI variation were simultaneously considered. The time spent in hypoglycaemia was 0.27% in both cases. The novel tuning method reduced the risk of severe hypoglycaemia, especially in patients with low SI. © 2016 Daskalaki et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Communication,,SCOPUS,1,not used,unknown,n,y,n,y,n,n,n,n,n,y,y,y,y,n,n,y,Actor-Critic,PLoS ONE,"Daskalaki E., Diem P., Mougiakakou S.G.","Daskalaki, E., Diabetes Technology Research Group, ARTORG Center for Biomedical Engineering Research, University of Bern, Murtenstrasse 50, Bern, Switzerland; Diem, P., Division of Endocrinology, Diabetes and Clinical Nutrition, Bern University Hospital Inselspital, Bern, Switzerland; Mougiakakou, S.G., Diabetes Technology Research Group, ARTORG Center for Biomedical Engineering Research, University of Bern, Murtenstrasse 50, Bern, Switzerland, Division of Endocrinology, Diabetes and Clinical Nutrition, Bern University Hospital Inselspital, Bern, Switzerland",,10.1371/journal.pone.0158722,Article,2016-01-01,Daskalaki_2016," @article{Daskalaki_2016, title={Model-Free Machine Learning in Biomedicine: Feasibility Study in Type 1 Diabetes}, volume={11}, ISSN={1932-6203}, url={http://dx.doi.org/10.1371/journal.pone.0158722}, DOI={10.1371/journal.pone.0158722}, number={7}, journal={PLOS ONE}, publisher={Public Library of Science (PLoS)}, author={Daskalaki, Elena and Diem, Peter and Mougiakakou, Stavroula G.}, editor={Maedler, KathrinEditor}, year={2016}, month={Jul}, pages={e0158722}}
"
Synergies Between Evolutionary Computation and Multiagent Reinforcement Learning: The Benefits of Exchanging Solutions,"In many real-world situations in which resources are scarce, aligning the optimum of the system with the optimum of agents can be conflicting. For instance, in traffic assignment, the system's and the agents' welfare may not be aligned. In order to deal with this, in this paper a new approach is proposed, based on a synergy between: (i) a global optimization process in which the traffic authority employs metaheuristics, and (ii) reinforcement learning processes that run at each individual driver agent. Both the agents and the system authority exchange solutions that are incorporated by the other party in order to come up with an assignment of routes.","evolutionary computation, multiagent systems, reinforcement learning",Transport,,ACM-DL,1/person,not used,unknown,y,n,n,y,n,n,y,n,n,n,n,n,n,n,n,y,Q-Learning,Proceedings of the Genetic and Evolutionary Computation Conference Companion,Ana L. C. Bazzan,,,10.1145/3067695.3075970,article,2017-01-01,Bazzan_2017," @article{Bazzan_2017, title={Synergies between evolutionary computation and multiagent reinforcement learning}, ISBN={9781450349390}, url={http://dx.doi.org/10.1145/3067695.3075970}, DOI={10.1145/3067695.3075970}, journal={Proceedings of the Genetic and Evolutionary Computation Conference Companion on   - GECCO  ’17}, publisher={ACM Press}, author={Bazzan, Ana L. C.}, year={2017}}
"
A Contextual Bandits Framework for Personalized Learning Action Selection.,,,Education,,DBLP,1,not used,batch,n,y,n,n,y,n,n,y,y,n,n,n,y,n,n,y,"A-CLUB,CLUB",,"Andrew S. Lan, Richard G. Baraniuk",,,,Conference and Workshop Papers,2016-01-01,Lan2016ACB,"@inproceedings{Lan2016ACB,
  title={A Contextual Bandits Framework for Personalized Learning Action Selection},
  author={Andrew S. Lan and Richard G. Baraniuk},
  booktitle={EDM},
  year={2016}
}"
TacTex'13: A Champion Adaptive Power Trading Agent,"Sustainable energy systems of the future could no longer rely on the current paradigm that energy supply follows demand. Since many of the renewable energy resources do not produce power on demand, there is a need for new market structures that motivate sustainable behaviors by participants. The Power Trading Agent Competition(Power TAC) is a new annual competition that focuses on the design and operation of future retail power markets, specifically in smart grid environments with renewable energy production, smart metering, and autonomous agents acting on behalf of customers and retailers. It uses a rich, open-source simulation platform that is based on real-world data and state-of-the-art customer models. Its purpose is to help researchers understand the dynamics of customer and retailer decision-making, as well as the robustness of proposed market designs. This research contributes to the former, by introducing TacTex'13, the champion agent from the inaugural competition in 2013. TacTex'13 learns and adapts to the environment in which it operates, by heavily relying on reinforcement-learning and prediction methods. We formalize the complex decision-making problem that TacTex'13 faces, and approximate its solution in TacTex'13's constituent components. We examine the success of the complete agent through analysis of competition results.","energy trading, machine learning, smart-grid",Energy,,ACM-DL,1,not used,online,y,n,n,y,n,n,n,y,n,y,n,y,n,y,n,y,"RL, not further specified",Proceedings of the 2014 International Conference on Autonomous Agents and Multi-agent Systems,Daniel  Urieli and Peter  Stone,,,,article,2014-01-01,Urieli2014TacTex13AC,"@inproceedings{Urieli2014TacTex13AC,
  title={TacTex'13: a champion adaptive power trading agent},
  author={Daniel Urieli and Peter Stone},
  booktitle={AAMAS},
  year={2014}
}"
An Efficient Bandit Algorithm for Realtime Multivariate Optimization,"Optimization is commonly employed to determine the content of web pages, such as to maximize conversions on landing pages or click-through rates on search engine result pages. Often the layout of these pages can be decoupled into several separate decisions. For example, the composition of a landing page may involve deciding which image to show, which wording to use, what color background to display, etc. Thus, optimization is a combinatorial problem over an exponentially large decision space. Randomized experiments do not scale well to this setting, and therefore, in practice, one is typically limited to optimizing a single aspect of a web page at a time. This represents a missed opportunity in both the speed of experimentation and the exploitation of possible interactions between layout decisions.","a/b testing, hill-climbing, multi-armed bandit, multivariate optimization",Commerce,,ACM-DL,1,not used,other,y,y,y,y,y,y,n,n,n,y,n,n,n,y,n,y,Contextual Bandits,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,Daniel N. Hill and Houssam  Nassif and Yi  Liu and Anand  Iyer and S.V.N.  Vishwanathan,,,10.1145/3097983.3098184,article,2017-01-01,Hill_2017," @article{Hill_2017, title={An Efficient Bandit Algorithm for Realtime Multivariate Optimization}, ISBN={9781450348874}, url={http://dx.doi.org/10.1145/3097983.3098184}, DOI={10.1145/3097983.3098184}, journal={Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining  - KDD  ’17}, publisher={ACM Press}, author={Hill, Daniel N. and Nassif, Houssam and Liu, Yi and Iyer, Anand and Vishwanathan, S.V.N.}, year={2017}}
"
