Title,Abstract,Access Type,Affiliations,Art. No.,Author Affiliations,Authors,Authors with affiliations,Citation Count,Copyright Year,DOI,Database,DOI counts,DOI count,Date Added To Xplore,End Page,Funding Information,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,ISBN,ISSN,Issue,Issue Date,Journal,Source Title,Keywords,License,Local ID,Meeting Date,Mesh_Terms,Online Date,PDF Link,Page count,Page end,Page start,Pages,Patent Citation Count,Publisher,Reference Count,Source,Source ISBN,Source ISSN,Source Title,Start Page,Type,URL,Unnamed: 12,Volume,Volume.1,Year,acronym,booktitle,cluster_id,conf_loc,description,edition,issue_date,issue_no,key,month,num_pages,num_versions,number,pages,pdf_url,publisher_loc,url_citation,url_citations,venue
Towards scalable and privacy preserving commercial content dissemination in social wireless networks,"This paper proposes a Q-learning based Device-to-Device multicast routing framework for Social Wireless Networks. The goal of the proposed Scalable Q-learning based Gain-aware Routing (SQGR) content dissemination algorithm is to maximize a predefined economic gain for commercial content generators. This economic gain is defined as the revenue from delivery of a coupon minus the forwarding cost associated with that delivery. SQGR, with its embedding learning abilities, is expected to be robust in dynamic mobility environments. It also preserves scalability and privacy since it does not require storage of per-individual consuming interest and interaction profiles within the network. Using the DTN simulator software ONE, we evaluate functional validity and compare gain performance of SQGR with few existing protocols under various commercial, network and protocol parameters.",,,,"Electrical and Computer Engineering, Michigan State University, East Lansing, USA",F. Hajiaghajani; S. Biswas,,,,10.1109/PIMRC.2017.8292416,IEEE Xplore,1,,20180215,7,,Biological system modeling;Economics;Peer-to-peer computing;Privacy;Probabilistic logic;Routing;Scalability,data privacy;delay tolerant networks;learning (artificial intelligence);mobile computing;mobile radio;multicast communication;routing protocols,Device-to-Device multicast;Gain-aware Routing content dissemination algorithm;SQGR;Scalable Q-learning;commercial content dissemination;dynamic mobility environments;social wireless networks,,,,8-13 Oct. 2017,,"2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",Economic Gain of Dissemination;Q-Learning;Reinforcement Learning;Social Wireless Networks,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8292416,,,,,,IEEE,,,Electronic:978-1-5386-3531-5; POD:978-1-5386-3532-2; Paper:978-1-5386-3529-2; USB:978-1-5386-3530-8,,"2017 IEEE 28th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",1,IEEE Conferences,,,,,2017,,,,,,,,,,,,,,,,,,,
"Stochastic Optimal Relaxed Automatic Generation Control in Non-Markov Environment Based on Multi-Step <formula formulatype=""inline""> <tex Notation=""TeX"">$Q(lambda)$</tex></formula> Learning","This paper proposes a stochastic optimal relaxed control methodology based on reinforcement learning (RL) for solving the automatic generation control (AGC) under NERC's control performance standards (CPS). The multi-step <i>Q</i>(λ) learning algorithm is introduced to effectively tackle the long time-delay control loop for AGC thermal plants in non-Markov environment. The moving averages of CPS1/ACE are adopted as the state feedback input, and the CPS control and relaxed control objectives are formulated as multi-criteria reward function via linear weighted aggregate method. This optimal AGC strategy provides a customized platform for interactive self-learning rules to maximize the long-run discounted reward. Statistical experiments show that the RL theory based <i>Q</i>(λ) controllers can effectively enhance the robustness and dynamic performance of AGC systems, and reduce the number of pulses and pulse reversals while the CPS compliances are ensured. The novel AGC scheme also provides a convenient way of controlling the degree of CPS compliance and relaxation by online tuning relaxation factors to implement the desirable relaxed control.",,,,"College of Electric Power, South China University of Technology, Guangzhou, China",T. Yu; B. Zhou; K. W. Chan; L. Chen; B. Yang,,28,,10.1109/TPWRS.2010.2102372,IEEE Xplore,1,,20110721,1282,,Aerospace electronics;Frequency control;Markov processes;Power grids;Power system dynamics;Standards,delays;learning (artificial intelligence);optimal control;power generation control;power system stability;robust control;state feedback;statistical analysis;stochastic processes;thermal power stations,AGC thermal plant;CPS compliance;CPS control;NERC control performance standard;RL theory based controller;interactive self learning rule;linear weighted aggregate method;long run discounted reward;multicriteria reward function;multistep Q(λ) learning algorithm;nonMarkov environment;online tuning relaxation factors;optimal AGC strategy;pulse reversal;reinforcement learning;state feedback input;statistical experiment;stochastic optimal relaxed automatic generation control;time delay control loop,,0885-8950;08858950,3,Aug. 2011,,IEEE Transactions on Power Systems,"AGC;CPS;multi-step <formula formulatype=""inline""><tex Notation=""TeX"">$Q(lambda)$</tex> </formula> learning;non-Markov environment;relaxed control;stochastic optimization",,,,,20110204,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5706397,,,,,,IEEE,31,,,,IEEE Transactions on Power Systems,1272,IEEE Journals & Magazines,,,26,,2011,,,,,,,,,,,,,,,,,,,
Towards end-to-end reinforcement learning of dialogue agents for information access,"This paper proposes KB-InfoBot1 - a multi-turn dialogue agent which helps users search Knowledge Bases (KBs) without composing complicated queries. Such goal-oriented dialogue agents typically need to interact with an external database to access real-world knowledge. Previous systems achieved this by issuing a symbolic query to the KB to retrieve entries based on their attributes. However, such symbolic operations break the differentiability of the system and prevent end-to-end training of neural dialogue agents. In this paper, we address this limitation by replacing symbolic queries with an induced ""soft"" posterior distribution over the KB that indicates which entities the user is interested in. Integrating the soft retrieval process with a reinforcement learner leads to higher task success rate and reward in both simulations and against real users. We also present a fully neural end-to-end agent, trained entirely from user feedback, and discuss its application towards personalized dialogue agents. © 2017 Association for Computational Linguistics.",,"Carnegie Mellon University, Pittsburgh, PA, United States; Microsoft Research, Redmond, WA, United States; National, Taiwan University, Taipei, Taiwan",,,"Dhingra B., Li L., Li X., Gao J., Chen Y.-N., Ahmed F., Deng L.","Dhingra, B., Carnegie Mellon University, Pittsburgh, PA, United States; Li, L., Microsoft Research, Redmond, WA, United States; Li, X., Microsoft Research, Redmond, WA, United States; Gao, J., Microsoft Research, Redmond, WA, United States; Chen, Y.-N., National, Taiwan University, Taipei, Taiwan; Ahmed, F., Microsoft Research, Redmond, WA, United States; Deng, L., Microsoft Research, Redmond, WA, United States",3,,10.18653/v1/P17-1045,SCOPUS,1,,,,,,,,,,,,,"ACL 2017 - 55th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)",,,2-s2.0-85030087610,,,,,,495,484,,,,,Scopus,,,"ACL 2017 - 55th Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference (Long Papers)",,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030087610&doi=10.18653%2fv1%2fP17-1045&partnerID=40&md5=c571cfd88d6caaedbd803bdfd2feb1df,,1,,2017,,,,,,,,,,,,,,,,,,,
Expert Level Control of Ramp Metering Based on Multi-Task Deep Reinforcement Learning,"This paper shows how the recent breakthroughs in reinforcement learning (RL) that have enabled robots to learn to play arcade video games, walk, or assemble colored bricks, can be used to perform other tasks that are currently at the core of engineering cyberphysical systems. We present the first use of RL for the control of systems modeled by discretized non-linear partial differential equations (PDEs) and devise a novel algorithm to use non-parametric control techniques for large multi-agent systems. Cyberphysical systems (e.g., hydraulic channels, transportation systems, the energy grid, and electromagnetic systems) are commonly modeled by PDEs, which historically have been a reliable way to enable engineering applications in these domains. However, it is known that the control of these PDE models is notoriously difficult. We show how neural network-based RL enables the control of discretized PDEs whose parameters are unknown, random, and time-varying. We introduce an algorithm of mutual weight regularization (MWR), which alleviates the curse of dimensionality of multi-agent control schemes by sharing experience between agents while giving each agent the opportunity to specialize its action policy so as to tailor it to the local parameters of the part of the system it is located in. A discretized PDE, such as the scalar Lighthill-Whitham-Richards PDE can indeed be considered as a macroscopic freeway traffic simulator and which presents the most salient challenges for learning to control large cyberphysical system with multiple agents. We consider two different discretization procedures and show the opportunities offered by applying deep reinforcement for continuous control on both. Using a neural RL PDE controller on a traffic flow simulation based on a Godunov discretization of the San Francisco Bay Bridge, we are able to achieve precise adaptive metering without model calibration thereby beating the state of the art in traffic metering. Furthermore, with the m- re accurate BeATS simulator, we manage to achieve a control performance on par with ALINEA, a state-of-the-art parametric control scheme, and show how using MWR improves the learning procedure.",,,,"Computer Science Deptartment, University of California at Berkeley, Berkeley, CA, USA",F. Belletti; D. Haziza; G. Gomes; A. M. Bayen,,,,10.1109/TITS.2017.2725912,IEEE Xplore,1,,20180328,1207,,Biological system modeling;Control systems;Cyber-physical systems;Learning (artificial intelligence);Mathematical model;Neural networks;Transportation,computer games;digital simulation;learning (artificial intelligence);multi-agent systems;partial differential equations;road traffic;road traffic control;traffic control;traffic engineering computing,Godunov discretization;MWR;PDE models;arcade video games;assemble colored bricks;continuous control;control performance;cyberphysical system;different discretization procedures;discretized PDE;electromagnetic systems;engineering applications;engineering cyberphysical systems;expert level control;hydraulic channels;learning procedure;macroscopic freeway traffic simulator;model calibration;multiagent control schemes;multiagent systems;multiple agents;multitask deep reinforcement learning;mutual weight regularization;neural RL PDE controller;nonlinear partial differential equations;nonparametric control techniques;parametric control scheme;precise adaptive metering;ramp metering;scalar Lighthill-Whitham-Richards PDE;traffic metering;transportation systems,,1524-9050;15249050,4,April 2018,,IEEE Transactions on Intelligent Transportation Systems,Deep learning;continuous control;deep reinforcement learning;macroscopic traffic models;partial differential equations;reinforcement learning;transportation systems,,,,,20170816,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8011495,,,,,,IEEE,,,,,IEEE Transactions on Intelligent Transportation Systems,1198,IEEE Journals & Magazines,,,19,,2018,,,,,,,,,,,,,,,,,,,
Adaptive management of air traffic flow: A multiagent coordination approach,"This paper summarizes recent advances in the application of multiagent coordination algorithms to air traffic flow management. Indeed, air traffic flow management is one of the fundamental challenges facing the Federal Aviation Administration (FAA) today. This problem is particularly complex as it requires the integration and/or coordination of many factors including: new data (e.g., changing weather info), potentially conflicting priorities (e.g., different airlines), limited resources (e.g., air traffic controllers) and very heavy traffic volume (e.g., over 40,000 flights over the US airspace). The multiagent approach assigns an agent to a navigational fix (a specific location in 2D space) and uses three separate actions to control the airspace: setting the separation between airplanes, setting ground holds that delay aircraft departures and rerouting aircraft. Agents then use reinforcement learning to learn the best set of actions. Results based on FACET (a commercial simulator) show that agents receiving personalized rewards reduce congestion by up to 80% over agents receiving a global reward and by up to 85% over a current industry approach (Monte Carlo estimation). These results show that with proper selection of agents, their actions and their reward structures, multiagent coordination algorithms can be successfully applied to complex real world domains. Copyright © 2008.",,"Oregon State University, 204 Rogers Hall, Corvallis, OR 97331, United States; UCSC, NASA Ames Research Center, Mailstop 269-3, Moffett Field, CA 94035, United States",,,"Tumer K., Agogino A.","Tumer, K., Oregon State University, 204 Rogers Hall, Corvallis, OR 97331, United States; Agogino, A., UCSC, NASA Ames Research Center, Mailstop 269-3, Moffett Field, CA 94035, United States",4,,,SCOPUS,0,,,,,,,,,,,,,Proceedings of the National Conference on Artificial Intelligence,,,2-s2.0-57749098530,,,,,,1584,1581,,,,,Scopus,,,Proceedings of the National Conference on Artificial Intelligence,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749098530&partnerID=40&md5=dbd59ebb6c6553c0f9800d71773ffaf3,,3,,2008,,,,,,,,,,,,,,,,,,,
Teaching mentoring program for the application of active methodologies and ICT tools,"This research is characterized by the effectiveness of the Teaching Mentoring Program for the application of active methodologies and ICT tools in Tecsup Norte teachers, Trujillo, Peru. A goal was set for the three locations of Tecsup Norte (Trujillo, City), Tecsup Centro (Lima, City), Tecsup Sur (Arequipa, City), to achieve that in 2016, 80%, apply at least one active methodology per semester and make use of ICT tools. The result for Tecsup Norte after completing the first semester was that 28% of teachers used an active methodology and 16% used ICT tools. At the beginning of the 2016 II semester, the Teaching Mentoring Program was designed, consisting of five stages: 1. first contact and interview with the teacher, 2. personalized training, 3. programming and revision of class material, 4. accompaniment in classroom and evaluation by rubrics, and 5. feedforward and recognition. For this, psychological strategies such as rapport, positive reinforcement and behavioral modeling were adapted, as well as the tool of coaching feedforward and evaluation rubrics were designed for the application of active methodologies. To guarantee the effectiveness of the program was a team of two specialists in active methodologies and ICT tools. Work schedule and control of man hours was approached using Gantt diagram. The results of the implementation of the program are relevant, since 95% of the teachers of the semester 2016 II applied active methodologies and ICT tools; in comparison to the result of the 2016 I semester. Tecsup Norte becomes the first site that exceeds the established goal of 80% in application of active methodologies and ICT tools, through the Teaching Mentoring program, the other venues that did not apply the Teaching Mentoring Program were: Tecsup Centro 62% and Tecsup Sur 50%. This educational innovation contributes a program for the training, accompaniment and evaluation of the teaching performance through active methodologies, such as: Flipped le- rning, case-based learning, problem-based learning, guided-learning project and the use of ICT tools.",,,,"Educational Innovation Deparment, Tecsup, Trujillo, Per&#x00FA;",N. E. Salazar,,,,10.1109/FIE.2017.8190607,IEEE Xplore,1,,20171214,6,,Google;Interviews;Mentoring;Technological innovation;Tools;Urban areas,computer aided instruction;teaching,Arequipa City;Gantt diagram;ICT tools;Lima City;Peru;Teaching Mentoring Program;Teaching Mentoring program;Teaching mentoring program;Tecsup Centro;Tecsup Norte teachers;Tecsup Sur;Trujillo,,,,18-21 Oct. 2017,,2017 IEEE Frontiers in Education Conference (FIE),ICT tools;Mentoring Teaching;active methodologies;evaluation rubrics;feedforward;personalized training,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8190607,,,,,,IEEE,,,Electronic:978-1-5090-5920-1; POD:978-1-5090-4920-2; USB:978-1-5090-5919-5,,2017 IEEE Frontiers in Education Conference (FIE),1,IEEE Conferences,,,,,2017,,,,,,,,,,,,,,,,,,,
Harmful lie aversion and lie discovery in noisy expert advice games,"This study tests whether individuals are reluctant to tell lies, or perhaps only ""harmful lies"", in a previously untested environment: an expert sending a message to a decision maker whose interpretation of that message is subject to error, i.e. a noisy sender-receiver game. In the Aligned treatment, the expert can send a ""white lie"" to the receiver, eliminating the negative effects of noise and improving both parties' payoffs. In the Conflict treatment, lies are harmful and the inability to commit to truthtelling destroys all meaningful communication in equilibrium unless there is a cost of lying. In the experiment, receivers are overly trusting and experts learn to take advantage of this. As experts gain experience they tell stronger and more frequent lies in both treatments, consistent with models of reinforcement learning. The findings suggest that neither harmful nor universal lie aversion is a factor when communication is noisy, provided individuals have time to discover their personal benefits of lies. © 2013 Elsevier B.V.",,"Florida State University, Department of Economics, l 113 Collegiate Loop, Tallahassee, FL 32306, United States",,,Lightle J.P.,"Lightle, J.P., Florida State University, Department of Economics, l 113 Collegiate Loop, Tallahassee, FL 32306, United States",6,,10.1016/j.jebo.2013.04.006,SCOPUS,1,,,,,,,,,,,,,Journal of Economic Behavior and Organization,Cheap talk; Communication; Experts; Lie aversion; Overcommunication,,2-s2.0-84884411295,,,,,,362,347,,,,,Scopus,,,Journal of Economic Behavior and Organization,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884411295&doi=10.1016%2fj.jebo.2013.04.006&partnerID=40&md5=a97f7b89c26a02b4a84445edbf419758,,93,,2013,,,,,,,,,,,,,,,,,,,
A Neural Network Model of Multisensory Representation of Peripersonal Space: Effect of tool use,"This work describes an original neural network to simulate representation of the peripersonal space around one hand, in basal conditions and after training with a tool used to reach the far space. The model is composed of two unimodal areas (visual and tactile) connected to a third bimodal area (visual-tactile). Neurons in the bimodal area integrate visual and tactile information and are activated only when a stimulus falls inside the peripersonal space. Moreover, the model assumes that synapses linking unimodal to bimodal neurons can be reinforced by an Hebbian rule during training, but this reinforcement is also under the influence of attention mechanisms. Results show that the peripersonal space, which includes just a small visual space around the hand in normal conditions, becomes elongated in the direction of the tool after training. This expansion of the peripersonal space depends on an expansion of the visual receptive field of bimodal neurons, due to a reinforcement of visual synapses, which were just latent before training. The model may be of value to analyze the neural mechanisms responsible for representing and plastically shaping peripersonal space, and in perspective, for interpretation of psychophysical data on patients with brain damage.",,,,"Department of Electronics, Computer Science and Systems, University of Bologna, Bologna, Italy",M. Ursino; M. Zavaglia; E. Magosso; A. Serino; G. di Pellegrino,,2,,10.1109/IEMBS.2007.4352894,IEEE Xplore,1,,20071022,2739,,Animals;Biological neural networks;Computer science;Computer simulation;Humans;Neural networks;Neurons;Plastics;Psychology;Radio frequency,Hebbian learning;biology computing;neural nets;neurophysiology;touch (physiological);vision,Hebbian rule;attention mechanism;bimodal neurons;bimodal visual-tactile perception;hand peripersonal space;neural network model;peripersonal space multisensory representation;peripersonal space plastic shaping;synapses;unimodal neurons;unimodal tactile perception;unimodal visual perception;visual receptive field expansion;visual synapse reinforcement,,1094-687X;1094687X,,22-26 Aug. 2007,,2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,,,,"Animals;Hand;Haplorhini;Humans;Neural Networks (Computer);Neurons, Afferent;Personal Space;Physical Stimulation;Synapses;Tool Use Behavior;Touch;Visual Perception",,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4352894,,,,,,IEEE,19,,CD-ROM:978-1-4244-0788-0; POD:978-1-4244-0787-3,,2007 29th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2735,IEEE Conferences,,,,,2007,,,,,,,,,,,,,,,,,,,
Affective personalization of a social robot tutor for children's second language skills,"Though substantial research has been dedicated towards using technology to improve education, no current methods are as effective as one-on-one tutoring. A critical, though relatively understudied, aspect of effective tutoring is modulating the student's affective state throughout the tutoring session in order to maximize long-term learning gains. We developed an integrated experimental paradigm in which children play a second-language learning game on a tablet, in collaboration with a fully autonomous social robotic learning companion. As part of the system, we measured children's valence and engagement via an automatic facial expression analysis system. These signals were combined into a reward signal that fed into the robot's affective reinforcement learning algorithm. Over several sessions, the robot played the game and personalized its motivational strategies (using verbal and non-verbal actions) to each student. We evaluated this system with 34 children in preschool classrooms for a duration of two months. We saw that (1) children learned new words from the repeated tutoring sessions, (2) the affective policy personalized to students over the duration of the study, and (3) students who interacted with a robot that personalized its affective feedback strategy showed a significant increase in valence, as compared to students who interacted with a nonpersonalizing robot. This integrated system of tablet-based educational content, affective sensing, affective policy learning, and an autonomous social robot holds great promise for a more comprehensive approach to personalized tutoring. © Copyright 2016, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,"MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Industrial Engineering Department, Curiosity Lab, Tel-Aviv Univerisity, Israel",,,"Gordon G., Spaulding S., Korywestlund J., Lee J.J., Plummer L., Martinez M., Das M., Breazeal C.","Gordon, G., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States, Industrial Engineering Department, Curiosity Lab, Tel-Aviv Univerisity, Israel; Spaulding, S., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Korywestlund, J., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Lee, J.J., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Plummer, L., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Martinez, M., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Das, M., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States; Breazeal, C., MIT Media Lab, Personal Robots Group, 20 Ames Street E15-468, Cambridge, MA, United States",16,,,SCOPUS,0,,,,,,,,,,,,,"30th AAAI Conference on Artificial Intelligence, AAAI 2016",,,2-s2.0-85007268746,,,,,,3957,3951,,,,,Scopus,,,"30th AAAI Conference on Artificial Intelligence, AAAI 2016",,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007268746&partnerID=40&md5=1d1e6a4e8fcc81aca41b3aa559b142ac,,,,2016,,,,,,,,,,,,,,,,,,,
XCSF with tile coding in discontinuous action-value landscapes,"Tile coding is an effective reinforcement learning method that uses a rather ingenious generalization mechanism based on (1) a carefully designed parameter setting and (2) the assumption that nearby states in the problem space will correspond to similar payoff predictions in the action-value function. Previously, we extended XCSF with tile coding prediction and compared it to tabular tile coding, showing that (1) XCSF performs as well as parameter-optimized tile coding, while also (2) evolving individualized parameter settings in each problem subspace. Our comparison was based on a set of well-known reinforcement learning environments (2D Gridworld and the Mountain Car) that involved no action-value discontinuities and so posed no challenge to tabular tile coding. In this paper, we go a step further and test XCSF with tile coding on a set of problems designed to challenge tile coding by introducing discontinuities in the action value landscape. The new testbed (called MazeWorld) extends 2D Gridworld with impenetrable obstacles, a conceptually simple modification that can dramatically increase the problem complexity for tabular tile coding. We compare four versions of XCSF with tile coding (each adapting a different set of parameters) to tabular tile coding on four problems of increasing complexity. We show that our system (1) needs fewer training problems than standard tile coding to reach an optimal policy; (2) it can evolve adequate coding parameters in each subspace without any previous knowledge; and that (3) even when XCSF is not allowed to evolve these parameters, the genetic algorithm will still adapt classifier conditions to properly decompose the problem into subspaces thus being much less sensitive to the parameter settings than tabular tile coding. © 2015, Springer-Verlag Berlin Heidelberg.",,"Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy",,,"Lanzi P.L., Loiacono D.","Lanzi, P.L., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy; Loiacono, D., Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Milan, Italy",1,,10.1007/s12065-015-0129-7,SCOPUS,1,,,,,,,,,,2-3,,,Evolutionary Intelligence,Learning classifier systems; Reinforcement learning; Tile coding; XCSF,,2-s2.0-84929840754,,,,,,132,117,,,,,Scopus,,,Evolutionary Intelligence,,Article,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929840754&doi=10.1007%2fs12065-015-0129-7&partnerID=40&md5=8308915ac08dcb9ce69ff618441ae49b,,8,,2015,,,,,,,,,,,,,,,,,,,
QoS-Oriented Wireless Routing for Smart Meter Data Collection: Stochastic Learning on Graph,"To ensure resilient and reliable meter data collection that is essential for the smart grid operation, we propose a QoS-oriented wireless routing scheme. Specifically tailored for the heterogeneity of the meter data traffic in the smart grid, we first design a novel utility function that not only jointly accounts for system throughput and transmission latency, but also allows for flexible tradeoff between the two with a strict transmission latency constraint, as desired by various smart meter applications. Then, we model the interactions among smart meter data concentrators as a mixed-strategy network formation game. To avoid potential information exchange which is not always practical in meter data collection scenario, a stochastic reinforcement learning algorithm with only private and incomplete information is proposed to solve the network formation problem. Such a problem formulation, together with our proposed stochastic learning algorithm on graph, results in a steady probabilistic route. Both contributions are novel and unique in comparison with existing work on this topic. Another distinct feature of our approach is its capability of effectively maintaining the QoS of smart meter data collection, even when the network is under fault or attack, as verified by simulations.",,,,"Dept. of Electron. & Inf. Eng., Huazhong Univ. of Sci. & Technol., Wuhan, China",Y. Cao; D. Duan; X. Cheng; L. Yang; J. Wei,,5,,10.1109/TWC.2014.2314121,IEEE Xplore,1,,20140808,4482,Science Foundation for the Youth Scholar of Ministry of Education of China; 10.13039/100000001 - National Science Foundation; 10.13039/501100001809 - National Natural Science Foundation of China; ,Data collection;Games;Quality of service;Routing;Smart grids;Throughput;Wireless communication,graph theory;learning (artificial intelligence);power engineering computing;quality of service;smart meters;stochastic processes;telecommunication network routing;wireless channels,QoS-oriented wireless routing;mixed-strategy network formation game;network formation problem;smart grid operation;smart meter data collection;stochastic learning;stochastic reinforcement learning algorithm;transmission latency constraint;wireless channels,,1536-1276;15361276,8,Aug. 2014,,IEEE Transactions on Wireless Communications,Network formation;smart grid;stochastic learning;wireless routing,,,,,20140327,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6779690,,,,,,IEEE,40,,,,IEEE Transactions on Wireless Communications,4470,IEEE Journals & Magazines,,,13,,2014,,,,,,,,,,,,,,,,,,,
Research of personal decision process using event-related potentials,"To gain insights into the neural basis of such adaptive decision-making processes, we investigated the nature of learning process in humans playing a competitive game with binary choices, using a matching pennies game. As in reinforcement learning, the subject's choice during a competitive game was biased by its choice and reward history, as well as by the strategies of its opponent. Analyses of ERP data focused on the feedback-related negativity (FRN), we found that the magnitude of ERPs after losing to the computer opponent predicted whether subjects would change decision behavior on the subsequent trial. These findings provide novel evidence that humans engage a reinforcement learning process to adjust representations of competing decision options. © 2011 Copyright Society of Photo-Optical Instrumentation Engineers (SPIE).",,"Institution of Information and Technology, Jiangxi Blue Sky University, 330098, Nanchang, China",820526,,Li X.,"Li, X., Institution of Information and Technology, Jiangxi Blue Sky University, 330098, Nanchang, China",,,10.1117/12.905918,SCOPUS,1,,,,,,,,,,,,,Proceedings of SPIE - The International Society for Optical Engineering,Decision-making; ERP; event-related potential; feedback,,2-s2.0-81855189580,,,,,,,,,,,,Scopus,,,Proceedings of SPIE - The International Society for Optical Engineering,,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-81855189580&doi=10.1117%2f12.905918&partnerID=40&md5=5961f2673bb1234d199456b6bee3601d,,8205,,2011,,,,,,,,,,,,,,,,,,,
Work in progress — Tools and technology to implement a students personal laboratory,"Today's students want to solve problems and experience engineering regardless of where they are - in lecture, in the laboratory, or the dorm room. Professors want to provide a hands-on learning experience to empower students who want to tinker, experiment, and explore concepts while improving the comprehension through reinforcement. Student access to affordable, low-cost technology enables educators to address limitations in the laboratory, including access to equipment, time on task, and cost. With a portable laboratory, a student can learn concepts in their preferred environments and provides a supplement to the traditional lecture and laboratory based courses.",,,,"Academic Product Manager, National Instruments",M. Walters,,1,,10.1109/FIE.2011.6143112,IEEE Xplore,1,,20120202,F1G-2,,Data acquisition;Educational institutions;Hardware;Instruments;Laboratories;Nickel;Signal generators,data acquisition;educational technology;engineering education;laboratory techniques;portable instruments;virtual instrumentation,equipment access;hands-on learning experience;low-cost educational technology;myDAQ;portable laboratory;students personal laboratory;work in progress,,0190-5848;01905848,,12-15 Oct. 2011,,2011 Frontiers in Education Conference (FIE),hands-on;myDAQ;student-laboratory;student-ownership,,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143112,,,,,,IEEE,3,,Electronic:978-1-61284-469-5; POD:978-1-61284-468-8; USB:978-1-61284-467-1,,2011 Frontiers in Education Conference (FIE),F1G-1,IEEE Conferences,,,,,2011,,,,,,,,,,,,,,,,,,,
Source task creation for curriculum learning,"Transfer learning in reinforcement learning has been an active area of research over the past decade. In transfer learning, training on a source task is leveraged to speed up or otherwise improve learning on a target task. This paper presents the more ambitious problem of curriculum learning in reinforcement learning, in which the goal is to design a sequence of source tasks for an agent to train on, such that final performance or learning speed is improved. We take the position that each stage of such a curriculum should be tailored to the current ability of the agent in order to promote learning new behaviors. Thus, as a first step towards creating a curriculum, the trainer must be able to create novel, agent-specific source tasks. We explore how such a space of useful tasks can be created using a parameterized model of the domain and observed trajectories on the target task. We experimentally show that these methods can be used to form components of a curriculum and that such a curriculum can be used successfully for transfer learning in 2 challenging multiagent reinforcement learning domains. Copyright © 2016, International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org). All rights reserved.",,"Department of Computer Science, University of Texas at Austin, Austin, TX, United States",,,"Narvekar S., Sinapov J., Leonetti M., Stone P.","Narvekar, S., Department of Computer Science, University of Texas at Austin, Austin, TX, United States; Sinapov, J., Department of Computer Science, University of Texas at Austin, Austin, TX, United States; Leonetti, M., Department of Computer Science, University of Texas at Austin, Austin, TX, United States; Stone, P., Department of Computer Science, University of Texas at Austin, Austin, TX, United States",5,,,SCOPUS,0,,,,,,,,,,,,,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",Curriculum learning; Reinforcement learning; Transfer learning,,2-s2.0-85014299386,,,,,,574,566,,,,,Scopus,,,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",,Conference Paper,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014299386&partnerID=40&md5=1f7f26c873913eaa841534ac92cb8a78,,,,2016,,,,,,,,,,,,,,,,,,,
